"Film","Movie.Genre","Award","Year_of_Release","IMDB_Votes","IMDB.Rating","Movie.Time"
"Wings","Drama,Romance,War","Winner",1927,"12,221",7.5,144
"7th Heaven","Drama,Romance","Nominee",1927,"3,439",7.7,110
"The Racket","Crime,Drama,Film-Noir","Nominee",1928,"1,257",6.7,84
"The Broadway Melody","Drama,Musical,Romance","Winner",1929,"6,890",5.7,100
"Alibi","Action,Crime,Romance","Nominee",1929,"765",5.8,91
"Hollywood Revue","Comedy,Music","Nominee",1929,"2,004",5.7,130
"In Old Arizona","Western","Nominee",1928,"1,019",5.6,95
"The Patriot","Drama,History,Thriller","Nominee",1928,"18",7.4,113
"All Quiet on the Western Front","Drama,War","Winner",1930,"59,214",8.1,152
"The Big House","Crime,Drama,Thriller","Nominee",1930,"2,079",7.1,87
"Disraeli","Biography,Drama,History","Nominee",1929,"1,143",6.2,90
"The Divorcee","Romance,Drama","Nominee",1930,"2,982",6.7,84
"The Love Parade","Comedy,Musical,Romance","Nominee",1929,"2,163",7,107
"Cimarron","Drama,Western","Winner",1931,"5,851",5.9,123
"East Lynne","Drama,Romance","Nominee",1931,"188",5.9,102
"The Front Page","Comedy,Crime,Drama","Nominee",1931,"2,741",6.8,101
"Skippy","Comedy,Drama,Family","Nominee",1931,"772",6.3,85
"Trader Horn","Action,Adventure,Drama","Nominee",1931,"957",6.3,122
"Grand Hotel","Drama,Romance","Winner",1932,"18,314",7.4,112
"Arrowsmith","Drama","Nominee",1931,"1,663",6.2,108
"Bad Girl","Drama,Romance","Nominee",1931,"1,248",6.5,90
"The Champ","Drama,Sport","Nominee",1931,"3,003",7.3,86
"Five Star Final","Crime,Drama","Nominee",1931,"1,944",7.3,89
"One Hour with You","Comedy,Musical,Romance","Nominee",1932,"2,317",7.2,78
"Shanghai Express","Adventure,Drama,Romance","Nominee",1932,"8,325",7.3,82
"The Smiling Lieutenant","Comedy,Romance,Musical","Nominee",1931,"3,540",7.2,93
"Cavalcade","Drama,Romance,War","Winner",1933,"4,961",5.9,112
"42nd Street","Comedy,Drama,Musical","Nominee",1933,"11,342",7.4,89
"A Farewell to Arms","Drama,Romance,War","Nominee",1932,"5,567",6.5,80
"I Am a Fugitive from a Chain Gang","Crime,Drama,Film-Noir","Nominee",1932,"12,604",8.2,92
"Lady for a Day","Comedy,Drama","Nominee",1933,"3,971",7.4,96
"Little Women","Drama,Family,Romance","Nominee",1933,"6,778",7.2,115
"The Private Life of Henry VIII","Biography,Comedy,Drama","Nominee",1933,"4,090",7.1,97
"She Done Him Wrong","Comedy,Drama,History","Nominee",1933,"5,899",6.4,66
"Smilin' Through","Drama,Romance","Nominee",1932,"1,266",6.9,98
"State Fair","Comedy,Drama,Romance","Nominee",1933,"829",6.8,99
